Sample,X,Y,Z
95,-0.6028,-0.0933,-0.8726
96,-0.4604,-0.1738,-0.9915
97,-0.3762,-0.3445,-1.2017
98,-0.3726,-0.1018,-1.0979
99,-0.4407,-0.0461,-0.9370
100,-0.3518,0.0581,-0.9260
101,-0.2200,-0.1465,-1.1245
102,0.0886,-0.1077,-1.2454
103,0.3435,0.0669,-1.0588
104,0.7400,0.0217,-0.8098
105,0.9060,-0.2795,-0.8088
106,0.3982,-0.5872,-1.2112
107,0.0107,0.1545,-1.0874
108,0.1609,0.1802,-1.0227
109,0.3542,-0.2991,-0.9583
110,0.2275,-0.4460,-1.0767
111,-0.1370,-0.0208,-1.1528
112,-0.3792,-0.0225,-1.2036
113,-0.0989,0.0442,-1.0627
114,0.0876,-0.2954,-0.9224
115,-0.0579,-0.2700,-1.0171
116,-0.0278,0.0601,-1.1343
117,-0.0757,0.1284,-1.0129
118,0.0811,0.1536,-0.9475
119,0.2883,-0.0005,-0.9260
120,0.1726,-0.2961,-1.0002
121,0.0942,0.0161,-0.9683
122,0.1421,0.0112,-0.9683
123,0.3142,-0.1848,-1.0784
124,0.4792,-0.2329,-1.0920
125,0.1042,-0.6897,-1.2727
126,-0.3879,0.1472,-0.8960
127,-0.1826,0.1772,-0.9819
128,0.1763,-0.2854,-1.1809
129,0.2078,-0.2085,-1.1711
130,0.1396,0.1052,-0.9604
131,-0.1387,0.0618,-0.9163
132,-0.0005,0.1448,-0.9954
133,0.0918,-0.3093,-0.9983
134,0.0457,-0.4016,-1.0657
135,0.1699,-0.0620,-1.0093
136,0.0842,-0.0190,-0.9312
137,-0.1455,0.1414,-1.0132
138,0.0015,-0.1096,-1.0715
139,0.1953,-0.3684,-1.1321
140,0.4021,-0.1506,-0.9827
141,0.5063,-0.1294,-0.8892
142,0.0742,-0.3062,-1.2612
143,-0.2922,0.2666,-1.0444
144,0.0015,0.0298,-1.0806
145,0.1995,-0.2095,-0.9780
146,0.2954,-0.2280,-0.9585
147,0.1670,-0.0166,-0.9966
148,-0.1060,-0.0286,-1.1135
149,-0.0625,0.1067,-1.0649
150,0.1411,-0.3455,-0.9478
151,0.1396,-0.2886,-0.9712
152,0.1130,-0.1506,-1.0139
153,-0.0610,0.0393,-1.0093
154,-0.1060,0.1580,-1.1458
155,0.0352,-0.0427,-1.1028
156,0.1655,-0.0420,-1.0981
157,0.3796,-0.2151,-0.9758
158,0.5466,-0.2415,-0.8840
159,-0.0183,-0.4387,-1.1799
160,-0.5100,0.3787,-0.9468
161,0.0139,0.0798,-1.1577
162,0.4321,-0.3496,-1.0181
163,0.3696,-0.3901,-0.9370
164,0.0181,-0.0425,-0.9487
165,-0.3401,0.1931,-0.9741
166,0.1340,0.0220,-1.1536
167,0.3171,-0.4739,-0.9866
168,0.0039,-0.2407,-0.9878
169,-0.2241,0.1079,-0.8792
170,-0.2302,0.0579,-1.0491
171,0.2998,-0.0330,-1.1038
172,0.7280,-0.4956,-1.1235
173,0.0088,-0.3342,-1.1038
174,-0.4097,0.5151,-0.9495
175,-0.0898,0.2810,-1.0552
176,0.3491,-0.6890,-1.2124
177,0.3750,-0.2954,-1.0708
178,0.0725,-0.0620,-0.8511
179,-0.2473,0.3894,-0.8652
180,0.1587,0.1096,-1.0667
181,0.2810,-0.6487,-1.1204
182,0.0847,-0.2668,-1.0950
183,0.0591,0.1472,-0.8257
184,-0.0876,0.0801,-0.8352
185,0.1204,-0.0754,-1.0540
186,0.0247,-0.3149,-1.1362
187,-0.0786,-0.1326,-1.1770
188,0.1814,0.1489,-0.8401
189,0.2610,-0.3877,-0.8374
190,-0.0657,-0.2437,-1.1733
191,-0.3188,0.2563,-1.1047
192,0.1077,0.0837,-1.2317
193,0.3608,-0.3979,-1.0308
194,0.4673,-0.1128,-0.9321
195,0.0583,-0.1106,-1.0286
196,-0.0933,0.2886,-1.1418
197,0.2402,-0.1021,-1.1411
198,0.2583,-0.4321,-0.9331
199,0.2354,-0.0574,-1.0796
200,-0.0999,0.0168,-0.9924
201,-0.0679,0.0864,-1.1624
202,0.3191,-0.0847,-0.9875
203,0.7214,-0.4114,-1.0784
204,-0.0747,-0.3525,-1.0637
205,-0.5718,0.6587,-0.7327
206,0.0217,0.0310,-1.1597
207,0.3464,-0.6057,-1.1975
208,0.3540,-0.3022,-1.1411
209,0.0127,0.1663,-0.8176
210,-0.1296,0.2224,-0.9116
211,0.3315,-0.0767,-1.1226
212,0.1946,-0.5989,-1.1702
213,-0.0969,-0.0718,-1.0112
214,-0.1616,0.1392,-0.8303
215,-0.0190,0.1042,-0.9556
216,0.2891,-0.2468,-1.1584
217,0.4441,-0.4651,-1.0911
218,-0.1875,-0.2151,-0.7395
219,-0.1675,0.2393,-0.9192
220,-0.2034,0.4978,-0.9448
221,0.2319,-0.4663,-1.3940
222,0.3376,-0.5491,-1.1868
223,0.2275,-0.1204,-0.8879
224,-0.0652,0.1951,-0.9038
225,0.0137,0.1404,-1.1274
226,0.1448,-0.3120,-1.2065
227,0.2705,-0.4155,-1.1978
228,0.0273,-0.0515,-0.9104
